Case Name,Status,Progress,Summary,State,BillTrack50 Link,Last Activity Date,Representatives to Contact,Sponsors,Yea Votes,Nay Votes,Category
AK HB230,Active,House Committee,"This bill requires schools to classify all of their sports as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans athletes whose “biological sex” is not female from participating in female, women, or girls sports, but the term “biological sex” is not defined. The requirements in this bill apply to public schools as well as private schools whose sports teams compete against those of public schools. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill.",Alaska,https://legiscan.com/AK/bill/HB230/2021,24/3/2022,"Harriet Drummond, Andi Story, Tiffany Zulkosky, Grier Hopkins, Mike Prax, Mike Cronk, Ronald Gillham","Tom McKay, George Rauscher, Sara Rasmussen, Sarah Vance, Ronald Gillham",,,Sports
AK SB140,Active,Senate Committee,"This bill has a few ramifications. Firstly, there is no method stated by which to determine “biological sex”. This leaves this determination strategy completely open, meaning methods used could range from forced karyotyping tests, which would be financially prohibitive, to forced genital examinations of children, which leave high potential for childhood sexual abuses. Secondly, this bill is immense and wide reaching, applying to all schools, school districts, or even summer camps who receive public funding or who may play against a public school in athletics. Thirdly, investigations, complaints, or other acts of resistance against this bill have been explicitly forbidden.",Alaska,https://legiscan.com/AK/bill/SB140/2021,12/3/2022,"Gary Stevens, Roger Holland, Shelley Hughes, Peter Micciche, Tom Begich","Shelley Hughes, Lora Reinbold, Mike Shower",,,Sports
AZ HB2161,Active,To Governor,"This bill expands parental authority over their child by requiring that all medical records and all school records must be made available to the parents or legal guardians of a minor (under 18). Additionally, schools must gain written permission from parents or legal guardians before teaching students about sex, sexuality, or gender.",Arizona,https://legiscan.com/AZ/bill/HB2161/2022,30/3/2022,"Sally Ann Gonzales, Christine Marsh, Jamescita Peshlakai, Paul Boyer , Thomas Shope, Nancy Barto , Rick Gray, Tyler Pace",Steve Kaiser,,,Health Care
AZ HB2285,Active,House Committee,"This bill requires that schools receive written permission from the legal guardian before a student can participate in any instruction about sex, sexuality, or HIV/AIDS. Furthermore, it states that sex education classes must ""emphasize biological sex and not gender identities"", and must “promote honor and respect for monogamous marriage”. The sex education curricula must be approved by the school’s governing body and parents must be given an opportunity to review and provide comments on the curricula prior to its approval. Schools that fail these guidelines shall be fined $15,000 per violation.",Arizona,https://legiscan.com/AZ/bill/HB2285/2022,20/1/2022,"Daniel Hernandez, Jennifer Pawlik, Judy Schwiebert, Athena Salman, Beverly Pingerelli, Michelle Udall, Joel John, Quang H. Nguyen, Joanne Osborne, Bret M. Roberts",John Fillmore,,,Schools
AZ HB2293,Active,House Committee,This bill states that a public school may not require a teacher or other employee to use a pronoun in reference to a student other than the pronoun that corresponds to the sex listed on that student’s birth certificate. It also states that employees cannot be penalized for refusing to use any pronouns in reference to a student other than the pronouns corresponding to the student’s sex on their birth certificate.,Arizona,https://legiscan.com/AZ/bill/HB2293/2022,19/1/2022,"Daniel Hernandez, Jennifer Pawlik, Judy Schwiebert, Athena Salman, Beverly Pingerelli, Michelle Udall, Joel John, Quang H. Nguyen, Joanne Osborne, Bret M. Roberts","John Fillmore, Joseph Chaplik, Jacqueline Parker, Neal Carter",,,Schools
AZ HB2314,Active,House Committee,"This bill requires public schools to provide reasonable accommodations, including use of a single-occupancy restroom, for any person who is unable to use a multi-occupancy bathroom or changing facility. Reasonable accommodations do not include using a restroom or changing facility that is designated for the exclusive use of a sex that does not match that person’s sex assigned at birth. This bill also states that if a person encounters someone of the incorrect sex in a public school restroom or changing facility, or is asked to share sleeping quarters with a person of the opposite sex on a school field trip, they may sue the school in court. In this bill, sex is determined by the person’s birth certificate.",Arizona,https://legiscan.com/AZ/bill/HB2314/2022,15/2/2022,"Daniel Hernandez, Jennifer Pawlik, Judy Schwiebert, Athena Salman, Beverly Pingerelli, Michelle Udall, Joel John, Quang H. Nguyen, Joanne Osborne, Bret M. Roberts","John Kavanagh, Quang H. Nguyen, Michelle Udall, Judy Burges, David Livingston, Thomas Shope",,,Bathrooms
AZ HB2608,Active,Introduced,"This bill bans all medical care done for transition purposes for minors (under the age of 18). It mandates that no physician or health care professional shall be allowed to provide, prescribe, or refer treatments to patients under 18 for any transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill also specifically allows for ""corrective"" procedures for intersex traits. Other exceptions include injuries, illness, or when there is an imminent danger of death without treatment. Violations are considered unprofessional conduct by a medical professional and subject to disciplinary action. This bill also prevents public funds from being given to any organization that provides trans care to minors in any capacity, and it prevents health insurance companies from paying for trans treatments for any minor. It also declares that all money paid to or used for anyone’s gender transition may not be tax deductible.",Arizona,https://legiscan.com/AZ/bill/HB2608/2022,1/2/2022,"Cesar Chavez, Domingo DeGrazia, Melody Hernandez, Jacqueline Parker, Walter Blackman, Mark Finchem, Quang H. Nguyen, Beverly Pingerelli","Judy Burges, David Cook, David Livingston, Walter Blackman, Frank Carroll, John Fillmore, Neal Carter, Mark Finchem",,,Health Care
AZ SB1045,Active,Senate Committee,"This bill bans all medical care done for transition purposes for minors (under the age of 18). It mandates that no person shall be allowed to provide, prescribe, dispense, administer, or refer treatments to patients under 18 for any transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill also specifically allows for ""corrective"" procedures for intersex traits. Violations are considered class 4 felonies. Furthermore, this bill requires any public or private school employee to inform the legal guardians of a minor if that minor’s gender identity does not match their sex assigned at birth. It also mandates that school employees are not allowed to encourage any minor to keep their gender identity private rather than telling their legal guardians. If any given section of this bill is found to be illegal, the rest of the bill remains in effect.",Arizona,https://legiscan.com/AZ/bill/SB1045/2022,11/1/2022,"Lela Alston, Martin Quezada, Rebecca Rios, Karen Fann, Rick Gray, Sonny Borrelli, Vince Leach",Wendy Rogers,,,Health Care
AZ SB1046,Active,Introduced,"This bill requires all state-sponsored educational institutions to classify all of their sports as being for ""males, boys, or men”, ""females, girls, or women"", or ""coed or mixed”. It bans athletes whose ""biological sex"" is male from participating in female, women, or girls' sports. If disputed, a student’s ""biological sex"" must be established by presenting a physician’s signed statement that considers all of the following factors: internal and external reproductive anatomy, endogenous testosterone levels, and a genetic analysis. For disputes involving intersex students, a physician’s note with only the genetic analysis is acceptable, or if a genetic analysis cannot be determined, then the student may self-identify their sex. Students can sue the educational institution if they can claim they were harmed or lost some opportunity as a result of violations of this bill.",Arizona,https://legiscan.com/AZ/bill/SB1046/2022,12/12/2021,,Wendy Rogers,,,Sports
AZ SB1130,Active,Senate Floor,"This bill re-defines child abuse and vulnerable adult abuse to include transition-related healthcare treatments. Vulnerable adults are defined as people over the age of 18 who are unable to protect themselves from abuse, neglect, or exploitation due to a mental or physical impairment. The bill states that any person who provides puberty blockers, surgeries, or hormone replacement therapy to minors or to vulnerable adults is guilty of a felony. This bill specifically allows for ""corrective"" procedures for intersex traits.",Arizona,https://legiscan.com/AZ/bill/SB1130/2022,27/1/2022,,Wendy Rogers,,,Health Care
